dataset_name,data_update_frequency,dataset_date
car-displacement-data-bangui-floods-oct19-site-assessment-iom-dtm,-2,[2019-11-04T00:00:00 TO 2019-11-10T23:59:59]
burundi-site-assessment-data-iom-dtm,-1,[2018-03-31T00:00:00 TO 2018-03-31T23:59:59]
iraq-idps-data-iom-dtm,180,[2021-11-11T00:00:00 TO 2023-08-31T23:59:59]
ethiopia-displacement-data-geodeo-and-west-guji-rra-iom-dtm,-1,[2019-08-11T00:00:00 TO 2019-08-23T23:59:59]
guatemala-site-assessment-data-iom-dtm,-1,[2018-07-31T00:00:00 TO 2018-07-31T23:59:59]
indonesia-displacement-data-lombok-earthquake-site-assessment-iom-dtm,-1,[2018-09-30T00:00:00 TO 2018-09-30T23:59:59]
yemen-displacement-data-area-assessment-iom-dtm,-1,[2018-11-30T00:00:00 TO 2018-11-30T23:59:59]
mozambique-displacement-data-baseline-assessment-idai-iom-dtm,-1,[2019-10-02T00:00:00 TO 2019-11-09T23:59:59]
south-sudan-displacement-data-idps-baseline-feb2014-to-dec2017-iom-dtm,-1,[2014-02-28T00:00:00 TO 2017-12-31T23:59:59]
travel-restriction-monitoring-iata-covid-19-iom-dtm,-2,[2020-03-26T00:00:00 TO 2020-03-26T23:59:59]
south-sudan-covid-19-mobility-and-preparedness-updates-iom-dtm,-2,[2020-07-27T00:00:00 TO 2020-08-09T23:59:59]
antigua-and-barbuda-displacement-idps-site-assessment-idai-iom-dtm,-1,[2017-09-01T00:00:00 TO 2017-09-30T23:59:59]
bolivia-displacement-idps-site-assessment-idai-iom-dtm,-1,[2018-03-07T00:00:00 TO 2018-03-07T23:59:59]
armenia-displacement-idps-baseline-assessment-iom-dtm,-1,[2020-12-10T00:00:00 TO 2020-12-10T23:59:59]
nigeria-baseline-data-iom-dtm,180,[2015-01-01T00:00:00 TO 2023-04-30T23:59:59]
car-baseline-assessment-data-iom-dtm,180,[2017-11-30T00:00:00 TO 2023-09-08T23:59:59]
nigeria-cdw-baseline-assessments-dec14-oct17,-1,[2014-12-01T00:00:00 TO 2017-10-01T23:59:59]
drc-displacement-data-kasai-province-baseline-assessment-iom-dtm,-2,[2019-02-01T00:00:00 TO 2019-02-19T23:59:59]
south-sudan-displacement-multi-sectoral-village-assessment-idps-returnees-iom-dtm,-2,[2016-05-01T00:00:00 TO 2019-11-22T23:59:59]
south-sudan-village-assessment-health-facilities-iom-dtm,-2,[2019-08-01T00:00:00 TO 2020-03-31T23:59:59]
drc-displacement-data-north-kivu-province-baseline-assessment-iom-dtm,365,[2021-03-15T00:00:00 TO 2023-09-01T23:59:59]
yearly-compilation-of-arrivals-to-europe,-1,[2017-01-01T00:00:00 TO 2017-12-31T23:59:59]
iom-dtm-iraq-dataset-round-24,-1,[2015-07-02T00:00:00 TO 2015-07-02T23:59:59]
iom-dtm-nigeria-dataset-round-7,-1,[2015-12-23T00:00:00 TO 2015-12-23T23:59:59]
iom-dtm-iraq-dataset-round-21,-1,[2015-05-21T00:00:00 TO 2015-05-21T23:59:59]
iom-dtm-iraq-dataset-round-25,-1,[2015-07-13T00:00:00 TO 2015-07-13T23:59:59]
iom-dtm-iraq-dataset-round-27,-1,[2015-08-13T00:00:00 TO 2015-08-13T23:59:59]
iom-dtm-iraq-dataset-round-28,-1,[2015-08-27T00:00:00 TO 2015-08-27T23:59:59]
iom-dtm-iraq-dataset-round-29,-1,[2015-09-01T00:00:00 TO 2015-09-01T23:59:59]
io,-1,[2015-11-25T00:00:00 TO 2015-11-25T23:59:59]
car-roads-and-paths-shapefile,-1,[2016-10-01T00:00:00 TO 2016-10-01T23:59:59]
car-waterways-line-shapefile,-1,[2016-10-05T00:00:00 TO 2016-10-05T23:59:59]
iom-dtm-somalia-site-assessment-data,-1,[2016-09-20T00:00:00 TO 2016-09-20T23:59:59]
