filename,category,raw_rules,dataset_name
data grid recipe - afg.yml,affected_people,(name:afghanistan-displacement-data-baseline-assessment-iom-dtm),afghanistan-displacement-data-baseline-assessment-iom-dtm
data grid recipe - afg.yml,affected_people,(name:unhcr-population-data-for-afg),unhcr-population-data-for-afg
data grid recipe - afg.yml,affected_people,(name:afghanistan-voluntary-repatriation-2025),afghanistan-voluntary-repatriation-2025
data grid recipe - afg.yml,affected_people,(name:afg-jiaf-humanitarian-needs-pin-and-severity),afg-jiaf-humanitarian-needs-pin-and-severity
data grid recipe - afg.yml,coordination_context,(name:afghanistan-who-does-what-where-october-to-december-2024),afghanistan-who-does-what-where-october-to-december-2024
data grid recipe - afg.yml,coordination_context,(name:afg-requirements-and-funding-data),afg-requirements-and-funding-data
data grid recipe - afg.yml,coordination_context,(name:afghanistan-acled-conflict-data),afghanistan-acled-conflict-data
data grid recipe - afg.yml,coordination_context,(name:afghanistan-humanitarian-access-incidents),afghanistan-humanitarian-access-incidents
data grid recipe - afg.yml,food_security_nutrition_poverty,(name:afghanistan-acute-food-insecurity-country-data),afghanistan-acute-food-insecurity-country-data
data grid recipe - afg.yml,food_security_nutrition_poverty,(name:afg-malnutrition-prevalence),afg-malnutrition-prevalence
data grid recipe - afg.yml,food_security_nutrition_poverty,(name:wfp-food-prices-for-afghanistan),wfp-food-prices-for-afghanistan
data grid recipe - afg.yml,food_security_nutrition_poverty,(name:global-market-monitor),global-market-monitor
data grid recipe - afg.yml,food_security_nutrition_poverty,(name:afghanistan-mpi),afghanistan-mpi
data grid recipe - afg.yml,geography_and_infrastructure,(name:cod-ab-afg),cod-ab-afg
data grid recipe - afg.yml,geography_and_infrastructure,(name:cod-ps-afg),cod-ps-afg
data grid recipe - afg.yml,geography_and_infrastructure,(name:hotosm_afg_populated_places),hotosm_afg_populated_places
data grid recipe - afg.yml,geography_and_infrastructure,(name:worldpop-population-counts-2015-2030-afg),worldpop-population-counts-2015-2030-afg
data grid recipe - afg.yml,geography_and_infrastructure,(name:hotosm_afg_roads),hotosm_afg_roads
data grid recipe - afg.yml,health_and_education,(name:hotosm_afg_health_facilities),hotosm_afg_health_facilities
data grid recipe - afg.yml,health_and_education,(name:hotosm_afg_education_facilities),hotosm_afg_education_facilities
data grid recipe - afg.yml,climate,(name:afg-rainfall-subnational),afg-rainfall-subnational
data grid recipe - afg.yml,climate,(name:asap-hotspots-monthly),asap-hotspots-monthly
data grid recipe - afg.yml,climate,(name:afghanistan-natural-disaster-incidents),afghanistan-natural-disaster-incidents
data grid recipe - bdi.yml,affected_people,(name:burundi-baseline-assessment-data-iom-dtm),burundi-baseline-assessment-data-iom-dtm
data grid recipe - bdi.yml,affected_people,(name:unhcr-population-data-for-bdi),unhcr-population-data-for-bdi
data grid recipe - bdi.yml,affected_people,(name:burundi-statistiques-des-rapatriements-par-province-et-commune),burundi-statistiques-des-rapatriements-par-province-et-commune
data grid recipe - bdi.yml,affected_people,(name:burundi-humanitarian-needs-overview),burundi-humanitarian-needs-overview
data grid recipe - bdi.yml,coordination_context,(name:burundi-operational-presence),burundi-operational-presence
data grid recipe - bdi.yml,coordination_context,(name:fts-requirements-and-funding-data-for-burundi),fts-requirements-and-funding-data-for-burundi
data grid recipe - bdi.yml,coordination_context,(name:burundi-acled-conflict-data),burundi-acled-conflict-data
data grid recipe - bdi.yml,coordination_context,(name:burundi-displacement-data-emergency-event-tracking-iom-dtm),burundi-displacement-data-emergency-event-tracking-iom-dtm
data grid recipe - bdi.yml,food_security_and_nutrition,(name:burundi-acute-food-insecurity-country-data),burundi-acute-food-insecurity-country-data
data grid recipe - bdi.yml,food_security_and_nutrition,(name:burundi-malnutrition-prevalence),burundi-malnutrition-prevalence
data grid recipe - bdi.yml,food_security_and_nutrition,(name:wfp-food-prices-for-burundi),wfp-food-prices-for-burundi
data grid recipe - bdi.yml,geography_and_infrastructure,(name:cod-ab-bdi),cod-ab-bdi
data grid recipe - bdi.yml,geography_and_infrastructure,(name:burundi-administrative-level-0-1-and-2-administrative-boundaries),burundi-administrative-level-0-1-and-2-administrative-boundaries
data grid recipe - bdi.yml,geography_and_infrastructure,(name:hotosm_bdi_populated_places),hotosm_bdi_populated_places
data grid recipe - bdi.yml,geography_and_infrastructure,(name:hotosm_bdi_roads),hotosm_bdi_roads
data grid recipe - bdi.yml,geography_and_infrastructure,(name:hotosm_bdi_airports),hotosm_bdi_airports
data grid recipe - bdi.yml,health_and_education,(name:health-facilities-in-sub-saharan-africa),health-facilities-in-sub-saharan-africa
data grid recipe - bdi.yml,health_and_education,(name:hotosm_bdi_education_facilities),hotosm_bdi_education_facilities
data grid recipe - bdi.yml,socio-economic,(name:cod-ps-bdi),cod-ps-bdi
data grid recipe - bdi.yml,socio-economic,(name:burundi-mpi),burundi-mpi
data grid recipe - bfa.yml,affected_people,(name:situation-des-personnes-deplacees-internes),situation-des-personnes-deplacees-internes
data grid recipe - bfa.yml,affected_people,(name:unhcr-population-data-for-bfa),unhcr-population-data-for-bfa
data grid recipe - bfa.yml,affected_people,(name:bfa-jiaf-humanitarian-needs-pin-and-severity),bfa-jiaf-humanitarian-needs-pin-and-severity
data grid recipe - bfa.yml,coordination_context,(name:burkina-faso-presence-operationnelle),burkina-faso-presence-operationnelle
data grid recipe - bfa.yml,coordination_context,(name:bfa-requirements-and-funding-data),bfa-requirements-and-funding-data
data grid recipe - bfa.yml,coordination_context,(name:burkina-faso-acled-conflict-data),burkina-faso-acled-conflict-data
data grid recipe - bfa.yml,coordination_context,(name:burkina-faso-humanitarian-access),burkina-faso-humanitarian-access
data grid recipe - bfa.yml,food_security_nutrition_poverty,(name:cadre-harmonise),cadre-harmonise
